1,Transportation,0.0,nation
1,Transportation,0.47,payment
1,Transportation,0.29,structure
1,Transportation,0.59,bulk
1,Transportation,0.0,center
2,Transportation,0.0,sale
1,Transportation,0.59,ocean
2,Transportation,0.59,coal
1,Transportation,0.94,reputation
3,Transportation,1.78,truck
1,Transportation,0.29,time
1,Transportation,0.29,region
1,Transportation,0.47,model
1,Transportation,0.59,wing
1,Finance,0.35,sector
1,Finance,0.35,neighborhood
1,Finance,0.71,ataxz
2,Finance,0.0,office
3,Finance,0.0,money
1,Finance,0.35,trade
2,Finance,0.45,report
4,Finance,1.43,planning
2,Finance,0.45,relation
1,Finance,0.71,motorcycle
1,Finance,0.71,association
1,Finance,0.0,portfolio
2,Finance,0.0,alternative
1,Finance,0.71,worthington
1,Finance,0.71,underwriting
1,Finance,0.71,weekly
1,Finance,0.22,access
2,Finance,1.43,retirement
2,Finance,0.71,group
1,Finance,0.22,chain
1,Finance,0.71,title
1,Finance,0.71,banner
2,Finance,0.9,guidance
2,Finance,0.0,supply
1,Finance,0.45,lender
1,Finance,0.71,charge
6,Finance,0.0,location
2,Finance,0.9,treasury
2,Finance,0.0,employee
1,Finance,0.71,derivative
1,Finance,0.71,maryland
1,Finance,0.0,team
2,Finance,0.0,work
2,Finance,1.43,lending
1,Finance,0.0,innovation
2,Finance,1.43,merchant
1,Finance,0.35,sound
2,Finance,0.71,risk
2,Finance,0.0,government
1,Finance,0.35,press
3,Finance,0.67,auto
3,Finance,1.07,internet
2,Finance,0.45,school
1,Finance,0.45,commitment
1,Finance,0.71,barrier
2,Finance,0.9,servicing
1,Finance,0.71,akron
4,Finance,0.0,world
1,Finance,0.71,cbot
4,Finance,0.0,investor
30,Finance,10.77,bank
2,Finance,0.45,term
3,Finance,0.0,resource
1,Finance,0.22,gift
7,Finance,0.0,solution
1,Finance,0.71,atax
32,Finance,11.48,banking
2,Finance,0.71,benefit
1,Finance,0.22,maintenance
1,Finance,0.71,clientele
1,Finance,0.45,activity
1,Finance,0.45,depository
3,Finance,0.0,security
1,Finance,0.71,billpay
1,Finance,0.35,university
1,Finance,0.71,landscaping
1,Finance,0.71,bond
1,Finance,0.0,application
1,Finance,0.71,charter
3,Finance,1.07,interest
2,Finance,0.0,leasing
3,Finance,0.0,people
1,Finance,0.22,globe
1,Finance,0.45,receipt
1,Finance,0.71,invester
1,Finance,0.45,hawaii
1,Finance,0.45,contracting
2,Finance,0.45,rate
7,Finance,3.17,individual
2,Finance,0.45,trading
1,Finance,0.71,cleveland
1,Finance,0.45,coverage
6,Finance,0.0,home
1,Finance,0.0,operation
1,Finance,0.22,employment
16,Finance,0.0,investment
1,Finance,0.45,special
1,Finance,0.71,lockbox
1,Finance,0.35,index
1,Finance,0.22,practice
1,Finance,0.35,scale
23,Finance,0.0,business
14,Finance,6.34,mortgage
1,Finance,0.71,chicago
1,Finance,0.71,profit
1,Finance,0.22,texa
1,Finance,0.71,specialist
1,Finance,0.71,convenience
1,Finance,0.0,research
1,Finance,0.45,increase
3,Finance,0.0,state
1,Finance,0.0,energy
1,Finance,0.71,turnaround
2,Finance,0.9,debit
3,Finance,0.0,developer
1,Finance,0.22,approach
2,Finance,0.0,leader
1,Finance,0.22,core
1,Finance,0.45,dalla
1,Finance,0.71,mercantile
1,Finance,0.22,parent
2,Finance,0.9,exchange
1,Finance,0.35,rock
1,Finance,0.45,payroll
2,Finance,0.9,broker
1,Finance,0.22,efficiency
1,Finance,0.0,protection
4,Finance,1.81,relationship
2,Finance,0.45,york
2,Finance,1.43,advisor
1,Finance,0.71,ratio
1,Finance,0.71,respect
5,Finance,0.0,card
1,Finance,0.71,centerstate
1,Finance,0.45,buck
1,Finance,0.35,voice
2,Finance,0.9,certificate
1,Finance,0.71,amex
1,Finance,0.0,career
1,Finance,0.0,country
2,Finance,0.0,industry
1,Finance,0.71,bbcn
1,Finance,0.71,florida
2,Finance,0.0,provider
1,Finance,0.22,experience
1,Finance,0.71,example
7,Finance,2.51,credit
1,Finance,0.0,range
1,Finance,0.0,leadership
3,Finance,2.15,banker
1,Finance,0.71,login
1,Finance,0.71,housing
1,Finance,0.45,jersey
1,Finance,0.45,cleaning
2,Finance,0.71,consulting
1,Finance,0.35,alliance
15,Finance,5.38,saving
2,Finance,0.71,student
3,Finance,0.0,family
2,Finance,0.0,facility
1,Finance,0.35,partnering
1,Finance,0.71,hometown
16,Finance,7.24,loan
2,Finance,1.43,washington
1,Finance,0.71,sweep
20,Finance,0.0,community
3,Finance,2.15,county
2,Finance,1.43,entrepreneur
1,Finance,0.45,flexibility
1,Finance,0.71,charle
1,Finance,0.71,arkansa
2,Finance,0.9,brokerage
1,Finance,0.22,owner
5,Finance,2.26,equity
1,Finance,0.22,array
6,Finance,1.35,trust
1,Finance,0.0,quality
2,Finance,0.0,financing
5,Finance,0.0,market
1,Finance,0.22,city
1,Finance,0.71,mississippi
14,Finance,0.0,management
7,Finance,2.51,wealth
32,Finance,0.0,service
3,Finance,0.0,area
1,Finance,0.45,arlington
1,Finance,0.71,overdraft
1,Finance,0.71,philadelphia
2,Finance,0.71,strategy
1,Finance,0.71,giftcard
4,Finance,0.0,asset
1,Finance,0.45,letter
1,Finance,0.45,hundred
1,Finance,0.45,parking
1,Finance,0.0,capital
1,Finance,0.0,today
1,Finance,0.35,board
4,Finance,1.43,firm
2,Finance,0.0,life
1,Finance,0.45,mellon
3,Finance,0.67,option
3,Finance,0.0,offering
2,Finance,0.0,offer
6,Finance,0.0,company
2,Finance,1.43,citizen
1,Finance,0.45,award
1,Finance,0.45,volume
2,Finance,0.45,phone
1,Finance,0.71,columbu
1,Finance,0.71,reinventing
2,Finance,0.45,subsidiary
2,Finance,0.0,line
6,Finance,1.35,institution
1,Finance,0.71,volunteer
8,Finance,0.0,customer
5,Finance,1.13,account
2,Finance,0.9,hour
3,Finance,1.35,bill
1,Finance,0.0,cash
1,Finance,0.0,value
1,Finance,0.22,project
3,Finance,1.07,future
3,Finance,0.0,property
1,Finance,0.71,appraisal
1,Finance,0.45,municipality
1,Finance,0.0,care
2,Finance,0.71,release
1,Finance,0.71,marketplace
7,Finance,0.0,estate
1,Finance,0.22,century
1,Finance,0.71,ozark
1,Finance,0.71,occupier
3,Finance,0.0,year
1,Finance,0.71,belmont
1,Finance,0.71,doesn
1,Finance,0.71,patriot
1,Finance,0.35,need
1,Finance,0.0,engineering
1,Finance,0.71,wellsville
2,Finance,0.0,expertise
1,Finance,0.71,fairlawn
1,Finance,0.0,partner
1,Finance,0.0,education
1,Finance,0.71,townhouse
1,Finance,0.45,check
1,Finance,0.71,casualty
5,Finance,2.26,finance
2,Finance,0.0,information
1,Finance,0.71,participant
5,Finance,1.79,goal
1,Finance,0.71,depositanytime
1,Finance,0.0,variety
2,Finance,0.0,technology
1,Finance,0.45,travel
1,Finance,0.71,beltway
2,Finance,0.45,premier
1,Finance,0.45,feature
11,Finance,4.98,insurance
1,Finance,0.0,equipment
1,Finance,0.71,seminar
4,Finance,1.81,branch
1,Finance,0.71,korean
1,Finance,0.0,tool
2,Finance,0.0,stock
3,Finance,0.0,development
1,Finance,0.71,youth
8,Finance,0.0,product
1,Finance,0.0,material
1,Finance,0.71,columbia
3,Finance,2.15,quote
1,Finance,0.71,advice
1,Finance,0.71,alliancebankpa
1,Finance,0.71,expectation
1,Finance,0.45,director
1,Finance,0.35,agriculture
1,Finance,0.35,wire
1,Finance,0.22,shareholder
1,Finance,0.0,plan
1,Finance,0.71,nymex
1,Finance,0.71,calcutta
1,Finance,0.71,middlesex
1,Finance,0.35,america
1,Finance,0.35,response
1,Finance,0.0,building
1,Finance,0.71,woodmere
4,Finance,0.0,organization
1,Finance,0.0,center
1,Finance,0.45,commodity
1,Finance,0.35,fund
2,Finance,1.43,american
1,Finance,0.71,borrowing
2,Finance,0.0,sale
1,Finance,0.71,waldorf
1,Finance,0.71,person
1,Finance,0.35,switch
2,Finance,0.45,client
6,Finance,4.3,deposit
1,Finance,0.71,boone
2,Finance,0.0,professional
2,Finance,1.43,reward
1,Finance,0.0,consumer
